group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,CONSTRUCTION OF DRAIN,ENGR EDWIN AGHA STREET,completed,12 MONTH ACTIVITIES ON VEGETATION CONTROL AND DESILTING OF DRAINS,KIPS ENGINEERING LIMITED,1.51E+07,1.93E+07,3.43E+07,33585761,1569084079716.jpg,1569084105215.jpg,14,61,0,n/a,n/a,n/a,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,CONSTRUCTION OF DRAIN AND CONCRETE PAVEMENT,PA FREDRICK ROAD BACK OF EAGLE SQUARE OKPANAM ,completed,12 MONTH ACTIVITIES ON VEGETATION CONTROL AND CONSTRUCTION OF DRAINS,CHLEZ ENGINEERING SERVICES LIMITED,2.51E+07,2.49E+07,50025721,50025722,1569249401876.jpg,1569249533440.jpg,69,32,n/a,n/a,n/a,n/a,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,COLLECTION OF REFUSE  FROM HOME BUSINESS  PREMISES TO GOVERNMENT APPROVED DUMPSITE,FORM SCHOOL OF MIDWIFERY,completed,n/a,PEAHERTO ENTERPRISE,6388420,3240000,9628420,9628420,1569248270129.jpg,1569248445866.jpg,7,3,10,yes,n/a,n/a,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,ROAD CONSTRUCTION ,DIOKPA BISHOP ODU ROAD OBODOGWUGWU LAYOUT OKPANAM SECTION 1 ASABA,completed,12 MONTHS ACTIVITIES OF CONSTRUCTION OF ROAD SWEEPING OF SURFACE TRAVELLED ROAD AND VEGITATION CONTROL,MASANNETE PROJECTS LIMITED,2.69E+07,1.88E+07,4.57E+07,45703889,1569079099177.jpg,1569079174970.jpg,44,37,0,n/a,n/a,n/a,n/a,100
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF DRAIN (300M) BOTH SIDE AND CONSTRUCTION OF ALL THE CURVETS IN OBELE ROAD (4NO),OBELE YENAGOA,completed,"WORK COMPLETED
100 PERCENT",MCMATTY NIG. LTD,1.44E+07,1.10E+07,25441915,2.54E+07,1569496128302.jpg,1569496196074.jpg,30,14,0,n/a,n/a,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,STABILIZATION AND PLACEMENT OF STONE BASE AT OBELE ROAD (350M),OBELE YENAGOA,completed,"WORK IS COMPLETED
100 PERCENT",MIDOLANE VENTURES,8366000,6960000,15326000,1.53E+07,1569496574125.jpg,1569496642417.jpg,17,10,0,n/a,n/a,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,SAND FILLING AND PLACEMENT OF KERBS STONES AT OBELE ROAD (300M),OBELE YENAGOA,completed,"WORK IS COMPLETED
100 PERCENT",INYOMOTE RESOURCES,6090009,4560000,10650009,1.07E+07,1569496394920.jpg,1569496415180.jpg,12,7,0,n/a,n/a,yes,n/a,100
edo,n/a,n/a,owan east,n/a,CONSTRUCTION OF REINFORCED CONCRETE DRAIN AND ASPHALT OVERLAY WITH KERBS,UANTIOJE ULEYON QUARTERS ROAD OFF OTUO ROAD UZEBBA,completed,ASPHALT DONE,BLUEHUB LIMITED,3.01E+07,2.40E+07,5.40E+07,5.40E+07,1569491866000.jpg,1569491915265.jpg,42,75,0,yes,yes,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,MAINTENANCE OF GOODNEWS STREET-AZIKORO,AZIKORO TOWN YENAGOA LGA,completed,"WORK IS COMPLETED
100 PERCENT",AGAYE ENTERPRISES,1.44E+07,1.06E+07,24912975,2.49E+07,1569498018465.jpg,1569498046444.jpg,28,16,0,n/a,n/a,yes,n/a,100
edo,n/a,n/a,esan north eas,n/a,CONSTRUCTION OF REINFORCED CONCRETE DRAIN AND ASPHALT OVERLAY WITH KERBS,EFADION COLLEGE ROAD IYERIBHOR UROMI,completed,WORK COMPLETED,HUNTECO  AND COMPANY LIMITED,5.22E+07,4.32E+07,9.54E+07,95395537,1569424960606.jpg,1569424921197.jpg,89,111,0,yes,yes,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF175M*7.3M OLD ETEGWE CONCRETE ROAD 3, YENAGOA",EDE-EPIE,completed,COMPLETED,WHITE WATER GLOBAL PROJECT NIG. LTD,1.76E+07,1.22E+07,2.99E+07,1.76E+07,1569512582728.jpg,1569512614913.jpg,21,29,0,no,yes,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 175M*7.3 BOSSY WATER CONCRETE ROAD 2 YENAGOA,EDE-EPIE,completed,COMPLETED,OZTEN ENGINEERING ENTERPRISES,1.78E+07,1.27E+07,3.05E+07,1.78E+07,1569514382114.jpg,1569514529200.jpg,22,30,0,no,yes,AUTOMATIC,COMPLETED PROJECT,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 150M*7.3M CONCRETE ROAD BY TRINITY CHURCH, ROAD 1, YENAGOA",AGBURA,completed,COMPLETED,EMMA EXCELLENT VENTURE,1.42E+07,1.22E+07,26423314,1.42E+07,1569496954107.jpg,1569496985738.jpg,25,25,0,no,yes,AUTOMATIC,COMPLETED PROJECT,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 175M*5M CONCRETE ROAD AT EKEKI JOINING CHRIST CHURCH ROAD, WITH ONE SIDE DRAIN, YENAGOA",EKEKI,completed,COMPLETED,EBIKONFAX RESOURCES,1.14E+07,1.22E+07,2.36E+07,1.14E+07,1569501767275.jpg,1569501788102.jpg,22,28,0,no,yes,AUTOMATIC,COMPLETED PROJECT,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M*5M CONCRETE ROAD,"AZIKORO, TOWN",completed,COMPLETED,BLUE PRIME SYNERGY LTD,5796242.94,7440000,1.32E+07,5796242.94,1569498114738.jpg,1569498135387.jpg,20,10,n/a,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 2OOM * 6M CONCRETE ROAD,"AGBURA, YENAGOA",completed,COMPLETED,SAANBUL SANDFILLING COMPANY LTD,1.02E+07,9840000,2.00E+07,1.02E+07,1569499223620.jpg,1569499242243.jpg,30,10,0,n/a,n/a,AUTOMATIC,PROJECT COMPLETED,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 175M * 7.3M CONCRETE ROAD,"YENIZUE-GENE, YENAGOA",completed,COMPLETED,PRIMARY ESTATE AGENTS NIG LTD,1.15E+07,1.08E+07,2.23E+07,1.15E+07,1569505905967.jpg,1569505938460.jpg,28,16,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 175M * 7.3M CONCRETE ROAD,"YENIZUE-GENE, YENAGOA",completed,COMPLETED,SHABA & PARTNERS,1.28E+07,1.08E+07,23592690,1.28E+07,1569507654867.jpg,1569507675540.jpg,30,14,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 175M *7.3M OLD ETEGWE CONCRETE ROAD 4, YENAGOA ",EDE-EPIE ,completed,COMPLETED ,ONDO-BIBO BLESSED ASSOCIATES LTD,1.54E+07,1.27E+07,2.82E+07,1.54E+07,1569513089782.jpg,1569513111424.jpg,18,34,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 175M * 7.3M OLD ETEGWE CONCRETE ROAD 6,EDE-EPIE ,completed,COMPLETED ,CLEOMOZ NIG LTD,1.46E+07,1.22E+07,2.68E+07,1.46E+07,1569513370259.jpg,1569513386817.jpg,21,29,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 175M * 7.3M OLD ETEGWE CONCRETE ROAD 5, YENAGOA ",EDE-EPIE ,completed,COMPLETED ,PRETONEN GLOBAL RESOURCES ,1.57E+07,1.22E+07,2.80E+07,1.57E+07,1569513723643.jpg,1569513772494.jpg,20,30,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M * 7.3M CONCRETE ROAD ,"BOSSY WATER, EDE-PIE ",completed,COMPLETED ,PATMAY MULTI CONCEPTS LTD,1.14E+07,1.06E+07,2.20E+07,1.14E+07,1569514729194.jpg,1569514892058.jpg,20,23,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M * 7.3M CONCRETE ROAD,"BOSSY WATER, EDE-PIE",completed,COMPLETED,INEIKIKIMINI & SONS ENTERPRISE ,1.15E+07,1.08E+07,22302637,1.15E+07,1569514984001.jpg,1569515014617.jpg,24,20,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M * 7.3M CONCRETE ROAD ,"BOSSY WATER, EDEPIE ",completed,COMPLETED ,UFADAK NIG LTD,1.02E+07,1.08E+07,21016304,1.02E+07,1569515728626.jpg,1569515537527.jpg,14,30,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M X 7.3M CONCRETE ROAD,"BOSSY WATER, EDE-PIE",completed,COMPLETED,SHABA & PARTNERS,1.20E+07,1.06E+07,NaN,1.20E+07,1569515235727.jpg,1569515252938.jpg,28,15,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 175M X 7.3M CONCRETE ROAD,YENIZUE-GENE-YENAGOA,completed,COMPLETED,DE-GOODIES INVESTMENT NIG. LTD.,9469783.79,1.08E+07,2.03E+07,2.03E+07,1569578833262.jpg,1569578933729.jpg,25,19,0,n/a,n/a,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,MAINTENANCE OF ARITALLINE ROAD ,"OVOM, YEN.",completed,COMPLETED ,SEISUODOR VENTURES LTD.,1.01E+07,1.06E+07,20669003,2.07E+07,1569585354800.jpg,1569585421602.jpg,25,18,0,n/a,n/a,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M*7.3M COMMUNITY SECONDARY SCHOOL ROAD 1,OKUTUKUTU,completed,COMPLETED,BAWO SURVEY CONSULTANTS,1.43E+07,1.22E+07,2.65E+07,1.43E+07,1569588148961.jpg,1569588164479.jpg,21,29,0,no,yes,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION of 150M*7.3 COMMUNITY SECONDARY SCHOOL ROAD 3,OKUTUKUTU,completed,COMPLETED,ADINO GLOBAL RESOURCES LTD,1.40E+07,1.22E+07,2.62E+07,1.40E+07,1569588767245.jpg,1569588786008.jpg,26,24,0,no,yes,yes,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M*7.3M SECONDARY SCHOOL ROAD 2,OKUTUKUTU,completed,COMPLETED,BAWO SURVEY CONSULTANTS,1.43E+07,1.22E+07,2.65E+07,1.43E+07,1569588525193.jpg,1569588540538.jpg,23,27,0,no,no,yes,n/a,100
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,MAINTENANCE OF EREPA ROAD,"YENIZUE-GENE, YEN.",completed,COMPLETED,DIGHA SEGBE ENTERPRISES,7.11E+08,1.08E+10,NaN,1.15E+12,1569578641532.jpg,1569578703176.jpg,28,16,n/a,n/a,n/a,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M*7.3M C.K JOHNSON CONCRETE ROAD 1 YENAGOA,BIOGBOLO,completed,COMPLETED,TERA AND SONS NIG ENTERPRISE,1.36E+09,1.22E+09,2585934105,2.59E+09,1569580723920.jpg,1569580849393.jpg,20,30,0,n/a,n/a,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 250M * 7.3M CONCRETE ROAD, BY WINNERS ROAD, YENAGOA ","AKENPAI, YENAGOA ",completed,COMPLETED ,JOE SIM RESOURCES ,1.35E+07,1.22E+07,2.58E+07,1.35E+07,1569584818285.jpg,1569584842366.jpg,20,30,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE,OPOLO YEN,completed,100%,PAREJO ENTERPRISES,1.13E+07,1.08E+07,2.21E+07,1.08E+07,1569582158470.jpg,1569582225736.jpg,19,25,44,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD OPPOSITE FMC YENAGOA,OVOM,completed,100%,TAM-O BEN NIG ENTERPRISE,1.20E+07,1.22E+07,2.43E+07,1.20E+07,1569584818323.jpg,1569584864395.jpg,23,27,50,n/a,n/a,n/a,n/a,100
delta,n/a,oshimili north,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 250M * 7.3M CONCRETE ROAD 4, LEADING TO THE SCHOOL, YENAGOA ","AKENPAI, YENAGOA ",completed,COMPLETED ,RIBO (NIGERIA) ENTERPRISES ,1.22E+07,1.22E+07,2.44E+07,1.22E+07,1569585259359.jpg,1569585282626.jpg,23,27,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 250M * 7.3M CONCRETE ROAD 2, LEADING TO THE SCHOOL, YENAGOA ","AKENPAI, YENAGOA ",completed,COMPLETED ,EBISELEWARE VENTURES NIG LTD ,1.46E+07,1.22E+07,2.68E+07,1.46E+07,1569585068208.jpg,1569585085357.jpg,22,28,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 250M * 7.3M CONCRETE ROAD 1, BY WINNERS ROAD, YENAGOA ","AKENPAI, YENAGOA ",completed,COMPLETED ,EDWARD GLOBAL CONCEPTS ,1.19E+07,1.22E+07,2.42E+07,1.19E+07,1569584487902.jpg,1569584503500.jpg,21,29,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 120M * 6M CONCRETE ROAD FROM EBISAM ROAD (OPPOSITE AMBER HOTEL) LINKING CHRIS LANE, YENAGOA ",AKENFA ,completed,COMPLETED ,PERE/EBI ENTERPRISE ,9544222,1.22E+07,21784222,9544222,1569586413624.jpg,1569586436714.jpg,20,30,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 175M * 7.3M HEMSTEL ROAD OFF JUSTICE TABAI ROAD, EDE-PIE, YENAGOA","EDE-EPIE, YENAGOA",completed,COMPLETED,AL-BOOTHS RESOURCES,1.60E+07,1.22E+07,2.82E+07,1.60E+07,1569584202398.jpg,1569584225088.jpg,21,29,n/a,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 150M * 7.3M WINNERS CONCRETE ROAD 1, YENAGOA ",AGUDAMA - EPIE,completed,COMPLETED ,IMPREGNABLE MARK RESOURCES LTD,1.38E+07,1.22E+07,2.60E+07,1.38E+07,1569585610966.jpg,1569585641625.jpg,23,27,n/a,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 200M * 5M CONCRETE ROAD ,AKENFA 2,completed,COMPLETED ,TEDISCO ENGINEERING LTD ,6398725.2,7680000,1.41E+07,6398725.2,1569586621527.jpg,1569586650838.jpg,25,6,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 150M * 7.3M WINNERS CONCRETE ROAD 2, YENAGOA ",AGUDAMA-EPIE ,completed,COMPLETED ,BLUE PRIME SYNERGY LTD,1.64E+07,1.22E+07,2.86E+07,1.64E+07,1569585827975.jpg,1569585894623.jpg,23,27,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 100M * 7.3M CONCRETE ROAD ,"EDE-EPIE, YENAGOA ",completed,COMPLETED ,ABASS INTEGRATED SERVICES ,1.15E+07,1.08E+07,2.23E+07,1.15E+07,1569589175994.jpg,1569589197677.jpg,21,23,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 120M * 7.3M CONCRETE ROAD ,EDE-EPIE ,completed,COMPLETED ,OSIMHO INVESTMENT LTD,1.18E+07,1.08E+07,2.26E+07,1.18E+07,1569589399687.jpg,1569589480670.jpg,23,21,n/a,n/a,n/a,n/a,n/a,100
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,sagbama,n/a,n/a,n/a,CONSTRUCTION OF 200M X 6M CONCRETE ROAD  (OPUDOR LANE) SAGBAMA TOWN,SAGBAMA TOWN,completed,COMPLETED,ZITE & SONS ENTERPRISE,1.14E+07,9840000,2.12E+07,2.12E+07,1569849561291.jpg,1569849619203.jpg,25,15,0,n/a,n/a,yes,n/a,100
bayelsa,sagbama,n/a,n/a,n/a,"CONSTRUCTION OF 250M * 6M CONCRETE ROAD 1 WITH A CULVERT, BOLOU-ORUA.",BOLOU-ORUA,on going,SITE CLEANING,OYINCARE GLOBAL ENTERPRISE,1.69E+09,1.22E+09,2911220782,0,1569853182046.jpg,1569853208917.jpg,30,20,0,no,yes,AUTOMATIC,ACCOUNT OPENING AND DOCUMENTATION STILL ONGOING,2
bayelsa,sagbama,n/a,n/a,n/a,MAINTENANCE AND CLEARING OF ROAD SHOULDER OF THE EXISTING ROAD,SAGBAMA /TORU-ORUA,completed,COMPLETED,EBIKONFAX RESOURCES,5.80E+08,1.46E+09,2043812205,2.04E+09,1569848910458.jpg,1569848945018.jpg,50,10,n/a,n/a,n/a,yes,n/a,100
bayelsa,sagbama,n/a,n/a,n/a,REHABILITATION AND MAINTENANCE OF 100M * 6M CONCRETE ROAD.,SAGBAMA TOWN,completed,COMPLETED,OYINCARE GLOBAL ENTERPRISE,7.80E+08,7.44E+08,1524471642,1.52E+09,1569849872907.jpg,1569849900074.jpg,25,5,n/a,n/a,n/a,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD OSOKAMA,OSOKAMA,on going,5%,ONGOLO T. ENTERPRISES,8515287.9,8640000,1.72E+07,0,1569851634571.jpg,1569851651671.jpg,24,11,35,no,no,AUTOMATIC,PROCESSING OF DOCUMENT AND ACCOUNT OPENING ,5
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD OSOKAMA,OSOKAMA,completed,100%,ONGOLO T. ENTERPRISES,7510028,8640000,16150028,7510028,1569851956376.jpg,1569851923984.jpg,20,15,35,n/a,n/a,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 130M X 6M PAVILLION ROAD WITH A CUPVERT,OPOROMA,on going,ONGOING,BELIEVE GOD K. AND SOMS ENTERPRISE,9240291.9,1.06E+07,1.98E+07,0,1569850698585.jpg,1569850718965.jpg,27,16,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS,5
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X  6M CONCRETE ROAD,OTUAN,completed,COMPLETED,ABASS INTEGRATED SEVICES,8763917,1.06E+07,19323917,1.93E+07,1569857188053.jpg,1569857240582.jpg,27,16,0,n/a,n/a,yes,n/a,100
